               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094694,             0.03056,            0.036803,           0.0034066,                   1,            0.065445,            0.025107,            0.064331,            0.021935,            0.024957,              0.0982,              0.0002,              0.0002
                   1,            0.073724,            0.027902,            0.026018,            0.003388,                   1,             0.06584,            0.014762,            0.056173,            0.022038,            0.024655,            0.095495,          0.00049505,          0.00049505
                   2,            0.080188,            0.031263,            0.031202,           0.0034217,                   1,            0.012869,           0.0029497,            0.046195,            0.022392,             0.02428,            0.092784,          0.00078416,          0.00078416
                   3,            0.063008,            0.034259,            0.025742,           0.0028539,             0.83333,             0.12552,            0.015116,             0.04174,            0.021938,            0.026642,            0.090067,           0.0010673,           0.0010673
                   4,            0.071983,            0.029355,            0.031155,           0.0038371,                   1,            0.084521,            0.021849,            0.043381,            0.020298,            0.028455,            0.087345,           0.0013446,           0.0013446
                   5,            0.088734,            0.030243,            0.033839,           0.0035886,                   1,            0.028096,            0.012688,            0.041832,            0.018482,            0.027448,            0.084616,           0.0016158,           0.0016158
                   6,            0.053867,            0.029149,            0.023486,           0.0034592,                   1,            0.081895,            0.023719,            0.039148,            0.017754,            0.027145,            0.081881,           0.0018812,           0.0018812
                   7,            0.060391,            0.026353,            0.027867,           0.0034301,                   1,             0.15344,            0.066261,            0.040586,            0.016776,             0.02417,            0.079141,           0.0021406,           0.0021406
                   8,            0.071589,            0.033881,            0.037026,           0.0033691,                   1,            0.091563,            0.035017,             0.04088,            0.016398,            0.023959,            0.076394,           0.0023941,           0.0023941
                   9,            0.058594,            0.024478,             0.03179,           0.0033652,                   1,             0.12239,            0.027667,            0.038385,            0.016622,            0.022861,            0.073642,           0.0026416,           0.0026416
                  10,            0.073118,             0.02532,            0.028962,           0.0033453,                   1,             0.14441,            0.065476,             0.03693,            0.015965,            0.021707,            0.070883,           0.0028832,           0.0028832
                  11,             0.05814,            0.026385,            0.027956,           0.0033487,                   1,             0.26476,            0.082313,            0.035454,            0.015927,            0.021835,            0.068119,           0.0031189,           0.0031189
                  12,            0.047657,            0.025716,            0.031922,           0.0034255,                   1,             0.18587,            0.093643,            0.035885,              0.0154,            0.022595,            0.065349,           0.0033486,           0.0033486
                  13,            0.039125,            0.027188,            0.021046,           0.0034585,                   1,             0.40434,             0.16419,            0.040935,            0.014363,            0.021982,            0.062572,           0.0035723,           0.0035723
                  14,            0.047296,            0.026648,            0.025736,             0.76957,             0.16667,             0.51644,             0.27874,            0.034893,            0.013499,            0.023273,             0.05979,           0.0037902,           0.0037902
                  15,            0.047119,            0.025677,            0.024064,             0.36831,             0.66667,             0.58843,             0.32767,            0.031705,            0.012855,            0.021671,            0.057002,           0.0040021,           0.0040021
                  16,            0.057155,            0.030475,            0.030683,             0.29722,             0.90977,             0.83944,             0.41966,            0.029509,            0.012358,            0.020755,            0.054208,            0.004208,            0.004208
                  17,            0.051666,            0.025053,            0.030287,             0.63604,                 0.5,             0.68262,              0.3933,            0.032207,            0.012048,            0.020764,            0.051408,            0.004408,            0.004408
                  18,            0.035193,            0.019549,            0.026368,             0.17458,             0.66667,             0.31987,             0.13042,            0.042203,            0.011025,            0.017601,            0.048602,           0.0046021,           0.0046021
                  19,             0.05681,            0.018238,            0.022861,             0.51423,             0.66667,             0.77278,             0.35453,            0.027459,            0.011759,            0.016484,             0.04579,           0.0047902,           0.0047902
                  20,            0.053748,            0.022362,            0.024552,             0.47254,             0.98082,               0.995,             0.57811,            0.027203,            0.011908,            0.015038,            0.042972,           0.0049724,           0.0049724
                  21,             0.04076,            0.018823,            0.027214,             0.42088,             0.82851,             0.85611,             0.35969,            0.025875,            0.011856,            0.016681,            0.040149,           0.0051487,           0.0051487
                  22,            0.042779,             0.01857,            0.016186,             0.68358,              0.7335,             0.85864,             0.43445,            0.033267,            0.010323,            0.010327,            0.037319,            0.005319,            0.005319
                  23,            0.043812,            0.018762,            0.020179,             0.11287,             0.83333,             0.30276,             0.18638,            0.040226,           0.0093791,           0.0083817,            0.034483,           0.0054833,           0.0054833
                  24,            0.045999,            0.018035,            0.013313,             0.65487,             0.66667,             0.88389,             0.45405,            0.031532,            0.008553,           0.0068367,            0.031642,           0.0056418,           0.0056418
                  25,            0.061336,            0.017736,            0.018051,             0.78896,             0.83333,             0.93944,             0.49468,            0.027999,           0.0077746,           0.0064041,            0.028794,           0.0057942,           0.0057942
                  26,            0.036036,            0.014054,             0.01184,              0.9087,                 0.5,             0.62173,             0.31534,            0.038138,           0.0070994,           0.0061329,            0.025941,           0.0059408,           0.0059408
                  27,            0.047717,            0.017071,            0.013598,              0.5277,                   1,             0.82889,             0.56897,            0.029808,           0.0077326,           0.0059143,            0.023081,           0.0060814,           0.0060814
                  28,            0.043135,            0.019271,            0.015956,             0.48977,             0.83333,             0.85611,             0.50274,            0.034101,           0.0080132,           0.0055401,            0.020216,           0.0062161,           0.0062161
                  29,            0.052465,            0.015487,            0.023963,             0.45564,             0.83333,             0.88389,             0.59117,            0.028832,           0.0086441,           0.0075188,            0.017345,           0.0063448,           0.0063448
                  30,             0.03915,            0.017564,            0.012468,             0.40792,              0.6155,             0.59583,             0.25684,            0.040236,           0.0075283,           0.0058262,            0.014468,           0.0064676,           0.0064676
                  31,            0.058329,             0.01368,            0.020581,             0.48895,             0.79653,              0.7654,             0.37869,            0.033219,           0.0082345,           0.0053833,            0.011584,           0.0065844,           0.0065844
                  32,            0.064334,            0.016433,            0.012428,             0.46284,                 0.5,              0.5188,             0.25825,             0.03573,           0.0080853,           0.0073814,           0.0086954,           0.0066954,           0.0066954
                  33,             0.05202,            0.014201,             0.01778,             0.58109,             0.66667,             0.53578,             0.20258,            0.032725,            0.010199,           0.0096313,            0.006733,            0.006733,            0.006733
                  34,            0.045194,            0.013632,            0.015425,             0.55452,             0.45523,             0.56641,             0.26705,            0.036483,           0.0091515,           0.0094986,            0.006733,            0.006733,            0.006733
                  35,            0.059761,            0.015583,             0.01264,             0.54505,             0.60723,             0.37596,            0.091915,            0.050608,            0.008692,            0.010242,            0.006634,            0.006634,            0.006634
                  36,            0.044997,            0.016359,            0.018274,              0.5959,             0.66667,             0.53101,             0.22619,            0.039451,            0.009306,           0.0091415,            0.006535,            0.006535,            0.006535
                  37,            0.052847,            0.015604,            0.012722,             0.47438,             0.66667,             0.60308,             0.26373,             0.02606,            0.011414,           0.0094368,            0.006436,            0.006436,            0.006436
                  38,            0.048268,            0.015133,            0.016192,             0.91066,             0.16667,             0.57765,             0.25081,            0.032128,            0.011318,            0.010959,            0.006337,            0.006337,            0.006337
                  39,            0.037907,            0.015153,            0.010159,             0.87511,             0.16667,             0.43699,             0.13343,            0.034519,            0.011414,            0.010373,            0.006238,            0.006238,            0.006238
                  40,            0.042742,            0.012481,           0.0091046,             0.57792,             0.33333,              0.5748,             0.27461,            0.032192,            0.011019,            0.010213,            0.006139,            0.006139,            0.006139
                  41,            0.044787,            0.013951,            0.013655,             0.61253,             0.59661,             0.70814,             0.19955,            0.030912,            0.010895,            0.010112,             0.00604,             0.00604,             0.00604
                  42,            0.046773,            0.019984,           0.0096874,             0.85802,             0.48332,             0.84115,             0.31144,            0.032379,            0.009604,            0.017207,            0.005941,            0.005941,            0.005941
                  43,            0.050786,            0.019695,            0.013067,             0.90866,             0.46458,             0.59867,             0.23426,            0.028938,            0.010758,            0.020883,            0.005842,            0.005842,            0.005842
                  44,            0.041356,            0.014722,            0.016147,             0.74086,                 0.5,             0.61913,             0.19349,            0.030576,            0.010737,            0.016136,            0.005743,            0.005743,            0.005743
                  45,            0.040536,            0.016205,           0.0079576,             0.66679,                 0.5,             0.62806,              0.2747,            0.027317,           0.0099909,            0.016214,            0.005644,            0.005644,            0.005644
                  46,             0.03517,            0.011578,           0.0088107,             0.70194,             0.83333,             0.85864,             0.46293,            0.021069,           0.0081711,            0.012767,            0.005545,            0.005545,            0.005545
                  47,            0.030006,            0.012969,           0.0061632,             0.58134,             0.83333,             0.85864,              0.5187,            0.030244,           0.0070152,            0.011874,            0.005446,            0.005446,            0.005446
                  48,            0.050952,             0.01321,           0.0083588,             0.59222,             0.83333,             0.85611,             0.58807,            0.025666,           0.0081444,            0.010741,            0.005347,            0.005347,            0.005347
                  49,             0.03745,            0.011837,           0.0042683,             0.47399,             0.86924,             0.82833,             0.45952,            0.029688,           0.0072975,           0.0096222,            0.005248,            0.005248,            0.005248
                  50,             0.03704,            0.013377,           0.0085259,             0.60936,             0.74339,             0.88389,             0.51423,            0.024267,           0.0076656,           0.0054073,            0.005149,            0.005149,            0.005149
                  51,            0.039175,            0.014383,            0.007553,             0.76984,                   1,               0.995,             0.64661,            0.023777,           0.0084171,           0.0036655,             0.00505,             0.00505,             0.00505
                  52,            0.041875,            0.011455,           0.0062158,             0.70775,              0.9514,               0.995,             0.68062,            0.021977,           0.0084858,           0.0065575,            0.004951,            0.004951,            0.004951
                  53,            0.054399,             0.01192,           0.0051311,             0.55598,                   1,             0.93944,             0.62705,            0.023921,           0.0092411,              0.0034,            0.004852,            0.004852,            0.004852
                  54,            0.040255,            0.010859,           0.0042578,             0.65971,                   1,               0.995,             0.63458,            0.022508,           0.0089893,            0.003158,            0.004753,            0.004753,            0.004753
                  55,            0.030185,            0.013865,           0.0039466,             0.64185,             0.92918,             0.88389,             0.55788,            0.023256,           0.0087414,           0.0042246,            0.004654,            0.004654,            0.004654
                  56,            0.037586,            0.012396,           0.0072849,             0.93999,             0.92129,               0.995,             0.75431,            0.018633,           0.0084915,            0.005769,            0.004555,            0.004555,            0.004555
                  57,            0.035828,            0.012591,           0.0061647,             0.94125,             0.96097,               0.995,              0.5885,            0.020405,           0.0077934,           0.0020316,            0.004456,            0.004456,            0.004456
                  58,            0.024359,            0.012911,           0.0024882,             0.97537,             0.99369,               0.995,             0.57664,            0.027936,           0.0069809,           0.0013169,            0.004357,            0.004357,            0.004357
                  59,            0.042145,            0.013054,            0.013421,             0.80964,             0.96005,             0.93944,             0.62041,            0.021832,            0.006875,           0.0011516,            0.004258,            0.004258,            0.004258
                  60,            0.032132,            0.012287,           0.0038736,             0.91949,             0.90305,               0.995,             0.56919,            0.022008,           0.0065842,           0.0011438,            0.004159,            0.004159,            0.004159
                  61,            0.040513,            0.012414,           0.0069096,             0.89393,             0.97741,               0.995,             0.70198,            0.019845,           0.0062971,           0.0011673,             0.00406,             0.00406,             0.00406
                  62,            0.034941,            0.014575,           0.0056307,             0.93623,             0.90966,               0.995,             0.51392,            0.023507,           0.0060043,           0.0011679,            0.003961,            0.003961,            0.003961
                  63,            0.035783,             0.01245,           0.0030431,             0.89315,             0.93052,               0.995,             0.56691,            0.019351,           0.0061054,           0.0012351,            0.003862,            0.003862,            0.003862
                  64,            0.035881,             0.01276,           0.0036161,              0.8905,             0.92826,               0.995,             0.61459,            0.019303,           0.0059919,           0.0012351,            0.003763,            0.003763,            0.003763
                  65,            0.030948,            0.013332,           0.0062234,             0.84095,             0.95182,               0.995,             0.60793,            0.018574,           0.0059891,           0.0012792,            0.003664,            0.003664,            0.003664
                  66,            0.040261,            0.011266,           0.0078497,             0.86545,             0.97819,               0.995,              0.7046,            0.018741,           0.0056305,           0.0011973,            0.003565,            0.003565,            0.003565
                  67,            0.021127,            0.011034,           0.0054844,             0.75135,             0.98765,               0.995,             0.60504,            0.021628,           0.0053892,           0.0012465,            0.003466,            0.003466,            0.003466
                  68,            0.041248,            0.011707,             0.00424,             0.85156,             0.97025,               0.995,             0.70567,            0.017161,           0.0050688,           0.0011596,            0.003367,            0.003367,            0.003367
                  69,            0.039405,            0.011139,           0.0030463,             0.82907,                   1,               0.995,             0.68811,            0.015367,           0.0051165,           0.0011753,            0.003268,            0.003268,            0.003268
                  70,            0.025288,           0.0095994,            0.014119,             0.83614,                   1,               0.995,             0.70465,            0.015297,           0.0049963,           0.0011976,            0.003169,            0.003169,            0.003169
                  71,            0.021217,            0.012448,           0.0040043,             0.78019,                   1,               0.995,             0.67976,             0.02093,           0.0047922,           0.0011796,             0.00307,             0.00307,             0.00307
                  72,             0.02989,            0.009576,           0.0021438,             0.84508,                   1,               0.995,             0.68898,            0.018591,           0.0046301,            0.001163,            0.002971,            0.002971,            0.002971
                  73,            0.027776,            0.012152,           0.0087349,             0.95756,                   1,               0.995,             0.70473,            0.015454,           0.0045376,            0.001128,            0.002872,            0.002872,            0.002872
                  74,            0.028722,            0.011872,           0.0064799,             0.97297,                   1,               0.995,             0.75457,            0.014757,           0.0044546,          0.00098691,            0.002773,            0.002773,            0.002773
                  75,            0.028755,           0.0092621,           0.0071387,             0.97602,                   1,               0.995,             0.73141,             0.01419,           0.0044146,          0.00093699,            0.002674,            0.002674,            0.002674
                  76,            0.039976,            0.011406,           0.0047909,             0.97724,                   1,               0.995,              0.7712,            0.014089,           0.0044394,           0.0008955,            0.002575,            0.002575,            0.002575
                  77,            0.032666,             0.01123,           0.0052404,             0.97673,                   1,               0.995,             0.76287,            0.013927,           0.0043163,          0.00088534,            0.002476,            0.002476,            0.002476
                  78,             0.03703,            0.011672,           0.0060959,             0.97068,                   1,               0.995,             0.82914,            0.013771,           0.0040684,          0.00086675,            0.002377,            0.002377,            0.002377
                  79,            0.041864,            0.012576,            0.016385,             0.97222,                   1,               0.995,             0.74624,            0.014188,            0.004015,          0.00085688,            0.002278,            0.002278,            0.002278
                  80,            0.034653,           0.0093975,           0.0039773,             0.96666,                   1,               0.995,             0.82917,            0.012922,           0.0039587,          0.00085144,            0.002179,            0.002179,            0.002179
                  81,            0.044055,            0.010768,           0.0052953,             0.94933,                   1,               0.995,             0.77956,            0.012211,            0.003953,          0.00092211,             0.00208,             0.00208,             0.00208
                  82,            0.026531,           0.0098406,           0.0024976,             0.95236,             0.99922,               0.995,             0.71318,            0.013386,            0.004014,          0.00089593,            0.001981,            0.001981,            0.001981
                  83,            0.031706,           0.0099111,            0.010106,             0.95479,             0.99579,               0.995,               0.796,            0.012371,           0.0039778,          0.00089078,            0.001882,            0.001882,            0.001882
                  84,            0.031285,            0.010686,           0.0065964,             0.95039,             0.99426,               0.995,              0.7217,            0.012394,           0.0039892,          0.00086532,            0.001783,            0.001783,            0.001783
                  85,            0.017142,           0.0098547,           0.0014436,             0.95613,             0.99627,               0.995,             0.77129,            0.014549,           0.0039759,          0.00082526,            0.001684,            0.001684,            0.001684
                  86,            0.032919,           0.0089554,           0.0022033,              0.9622,                   1,               0.995,             0.74645,            0.013683,           0.0039959,          0.00081196,            0.001585,            0.001585,            0.001585
                  87,             0.02981,            0.011605,           0.0095968,             0.96401,                   1,               0.995,             0.73836,            0.013558,           0.0039597,          0.00078535,            0.001486,            0.001486,            0.001486
                  88,            0.045884,           0.0084249,           0.0099596,             0.97074,                   1,               0.995,             0.74668,            0.012609,           0.0038939,          0.00075588,            0.001387,            0.001387,            0.001387
                  89,            0.024084,             0.01231,           0.0050134,             0.97311,                   1,               0.995,             0.77963,            0.012577,           0.0038805,          0.00074215,            0.001288,            0.001288,            0.001288
                  90,             0.01451,            0.007027,           0.0017953,               0.976,                   1,               0.995,             0.75483,            0.012124,           0.0038137,          0.00072784,            0.001189,            0.001189,            0.001189
                  91,            0.026228,           0.0084283,           0.0024598,             0.97425,                   1,               0.995,             0.77977,            0.012786,           0.0037632,          0.00068908,             0.00109,             0.00109,             0.00109
                  92,            0.027469,           0.0090502,           0.0030696,             0.96995,                   1,               0.995,             0.77966,            0.011106,           0.0037165,          0.00067134,            0.000991,            0.000991,            0.000991
                  93,            0.016069,           0.0088195,           0.0013686,             0.97006,                   1,               0.995,             0.81285,            0.011132,           0.0036392,          0.00067706,            0.000892,            0.000892,            0.000892
                  94,            0.022844,           0.0095441,           0.0019344,             0.97012,                   1,               0.995,             0.83765,             0.01061,           0.0035667,           0.0006762,            0.000793,            0.000793,            0.000793
                  95,            0.025858,           0.0090254,           0.0034027,             0.97038,                   1,               0.995,             0.83766,            0.010406,           0.0035324,           0.0006516,            0.000694,            0.000694,            0.000694
                  96,            0.021368,            0.007481,           0.0018721,             0.97268,                   1,               0.995,             0.83766,            0.011019,            0.003562,          0.00064774,            0.000595,            0.000595,            0.000595
                  97,            0.018956,           0.0094312,           0.0015233,             0.97258,                   1,               0.995,             0.77979,            0.011047,           0.0035658,          0.00063658,            0.000496,            0.000496,            0.000496
                  98,            0.020326,             0.01099,           0.0014507,             0.97269,                   1,               0.995,             0.76322,            0.011161,           0.0035582,          0.00062914,            0.000397,            0.000397,            0.000397
                  99,            0.027463,           0.0084266,           0.0013324,              0.9745,                   1,               0.995,              0.7879,            0.010785,             0.00354,          0.00061655,            0.000298,            0.000298,            0.000298
